topics proteins scores signal totalSignal fraction
113 Srb8 2.88783826235475 737 6610 0.111497730711044
114 Tfc6 13.1531634133106 23535 23542 0.999702659077394
114 Tfc1 13.1489970132838 12354 12749 0.969017177817868
114 Rpc34 13.1531467388159 11337 11364 0.997624076029567
115 Rpb2 13.1531593721617 140516 140759 0.998273645024474
116 Sua7 9.04889585133599 691541 1416750 0.488117875419093
116 Tfb4 1.78499359633354 48744 516833 0.0943128631492184
116 Tfa2 1.76423409656237 44296 459703 0.0963578658394659
117 Thp2 13.1524613845452 25942 26620 0.974530428249436
117 Mft1 13.1527664625534 24034 24429 0.983830693028777
119 Csn12 13.1530806588357 31017 31418 0.987236615952639
120 Rts2 12.8378915390577 1664 2196 0.757741347905282
121 Swi1 2.76535141036151 3147 28495 0.110440428145289
121 Soh1 3.77194356710238 2235 15829 0.141196537999874
121 Srb8 8.44273493216841 2082 6610 0.314977307110439
121 Snf6 1.41629565819501 1877 31831 0.0589676730231535
121 Rgr1 1.98822194718392 1850 21134 0.0875366707674837
121 Nut1 2.17445272730154 1523 17371 0.0876748603995164
121 Pgd1 2.71031615926401 1521 10987 0.138436333849094
121 Sin4 2.13328522665084 1415 14258 0.0992425305091878
121 Yap1 2.78987576205684 1215 9515 0.127693116132422
121 Cse2 6.60811117929387 1202 6151 0.195415379613071
121 Met4 1.00288197173836 1167 16679 0.0699682235145992
121 Tda9 5.84721918115364 1161 7565 0.153469927296761
121 Med11 6.51125306199198 1091 5020 0.217330677290837
121 Srb4 2.01789179216294 970 10660 0.0909943714821764
